Institute_Name,Closure_Year,Reason,last_updated
"Government College of Engineering, Warangal",2022,affiliation revoked,2024/04/10
"Sinhgad Engineering College, Belagavi",2024,affiliation revoked,2023/05/16
NATIONAL INSTITUTE OF TECHNOLOGY,2020,Poor placement record,2023/01/04
"Sri Venkateswara Institute of Technology and Science, Kolhapur",2021,,2023/06/26
" Sree College of Engineering, Jodhpur ",2022,voluntarily closed,2024/01/25
"Sreyas College Of Engineering, Vadodara",2019,,2023/05/22
Belagavi National Institute of Technology,2022,affiliation revoked,2023/07/09
"Government Engineering College, Vellore",2024,Poor placement record,2023/06/03
" Ideal Institute of Technology and Science, Davanagere ",2022,affiliation revoked,2024/03/21
"Raghu Institute of Technology, Bikaner",2022,Merged with another institute,2024/06/23
National  Institute of Technology,2019,No admission for 3 consecutive years,2023/10/12
"Vaagdevi College of Engineering and Technology, Kolkata",2018,affiliation revoked,2023/11/19
" Sardar Engineering College, Junagadh ",2018,voluntarily closed,2024/05/06
  Ujjain Thiagarajar Engg. College ,2018,Poor placement record,2023/04/07
"  Raghu  Institute of Technology, Coimbatore ",2019,Infrastructure non-compliance,2023/08/30
"  National Inst. of Tech., Jabalpur. ",2018,No admission for 3 consecutive years,2023/10/05
Thapar Institute of Engineering and Technology,2024,,2023/10/29
"Kongu Polytechnic, Kurnool",2019,,2024/06/11
"Andhra Engineering College, Nizamabad",2023,No admission for 3 consecutive years,2023/08/07
"Government Polytechnic, Vellore",2019,voluntarily closed,2023/07/12
Salem Aditya Institute of Engineering & Technology,2020,Poor placement record,2023/03/03
"St. Mary's Colg. of Engg. & Tech., Kota..",2021,Poor placement record,2023/08/29
"Kakatiya Institute of Technology and Science, Howrah",2018,Merged with another institute,2023/04/17
"Kalasalingam College of Engineering and Technology, Karimnagar",2019,No admission for 3 consecutive years,2023/10/07
"Bharat Institute of Technology, Bathinda",2019,Infrastructure non-compliance,2024/05/27
LOKMANYA ENGINEERING COLLEGE,2024,Merged with another institute,2023/10/09
"National Institute of Technology, Udaipur",2018,No admission for 3 consecutive years,2023/03/13
"Lokmanya  College Of Engineering And Technology, Kadapa",2024,Poor placement record,2024/05/12
"Amrita College of Engineering, Nizamabad",2019,affiliation revoked,2023/02/26
VARANASI MAHATMA GANDHI INSTITUTE OF TECHNOLOGY AND SCIENCE,2020,No admission for 3 consecutive years,2024/06/28
  Karunya Inst. of Engg. & Tech. ,2023,voluntarily closed,2023/05/05
" Raghu Polytechnic, Kota ",2021,No admission for 3 consecutive years,2023/05/21
  Salem Anurag Institute of Technology ,2018,voluntarily closed,2024/03/03
"Shri Ganesh Polytechnic, Bhopal",2022,No admission for 3 consecutive years,2023/11/18
"Coastal Engineering Institute, Visakhapatnam",2018,voluntarily closed,2024/06/10
"Hubballi. Lendi College of Engineering and Technology ,",2019,Infrastructure non-compliance,2023/06/20
  JUNAGADH NATIONAL INSTITUTE OF TECHNOLOGY ,2021,closed by regulatory order,2023/10/01
Bhavnagar BMS Poly.,2021,Merged with another institute,2023/04/08
"GOVERNMENT COLLEGE OF ENGINEERING, INDORE.",2022,voluntarily closed,2023/06/12
"Warangal Government College of Engineering ,",2019,closed by regulatory order,2024/01/29
